@relation 'AmericanRiv_TrainNoWaterYear-weka.filters.unsupervised.attribute.Remove-R6-9,15-18,24-27,33-36,42-45,51-54,60-63,69-72,78-81,87-90,93-95,98-101,104-107,110-112,115-117,120-122,124-126,129-133,136-138,140-142,145-147,150-152,154-157,160-162,164-168,170-172,174-177,179-181,184-185,188-190,193-195,198-200,202-204,206-208,210-212,218-221'

@attribute CPT_RAIN_OCT numeric
@attribute CPT_RAIN_NOV numeric
@attribute CPT_RAIN_DEC numeric
@attribute CPT_RAIN_JAN numeric
@attribute CPT_RAIN_FEB numeric
@attribute TAC_RAIN_OCT numeric
@attribute TAC_RAIN_NOV numeric
@attribute TAC_RAIN_DEC numeric
@attribute TAC_RAIN_JAN numeric
@attribute TAC_RAIN_FEB numeric
@attribute TKE_RAIN_OCT numeric
@attribute TKE_RAIN_NOV numeric
@attribute TKE_RAIN_DEC numeric
@attribute TKE_RAIN_JAN numeric
@attribute TKE_RAIN_FEB numeric
@attribute BYM_RAIN_OCT numeric
@attribute BYM_RAIN_NOV numeric
@attribute BYM_RAIN_DEC numeric
@attribute BYM_RAIN_JAN numeric
@attribute BYM_RAIN_FEB numeric
@attribute LSP_RAIN_OCT numeric
@attribute LSP_RAIN_NOV numeric
@attribute LSP_RAIN_DEC numeric
@attribute LSP_RAIN_JAN numeric
@attribute LSP_RAIN_FEB numeric
@attribute SSR_RAIN_OCT numeric
@attribute SSR_RAIN_NOV numeric
@attribute SSR_RAIN_DEC numeric
@attribute SSR_RAIN_JAN numeric
@attribute SSR_RAIN_FEB numeric
@attribute PCF_RAIN_OCT numeric
@attribute PCF_RAIN_NOV numeric
@attribute PCF_RAIN_DEC numeric
@attribute PCF_RAIN_JAN numeric
@attribute PCF_RAIN_FEB numeric
@attribute GRG_RAIN_OCT numeric
@attribute GRG_RAIN_NOV numeric
@attribute GRG_RAIN_DEC numeric
@attribute GRG_RAIN_JAN numeric
@attribute GRG_RAIN_FEB numeric
@attribute FDD_RAIN_OCT numeric
@attribute FDD_RAIN_NOV numeric
@attribute FDD_RAIN_DEC numeric
@attribute FDD_RAIN_JAN numeric
@attribute FDD_RAIN_FEB numeric
@attribute PCV_RAIN_OCT numeric
@attribute PCV_RAIN_NOV numeric
@attribute PCV_RAIN_DEC numeric
@attribute PCV_RAIN_JAN numeric
@attribute PCV_RAIN_FEB numeric
@attribute APH_SNOW_JAN numeric
@attribute APH_SNOW_FEB numeric
@attribute CAP_SNOW_JAN numeric
@attribute CAP_SNOW_FEB numeric
@attribute CC5_SNOW_JAN numeric
@attribute CC5_SNOW_FEB numeric
@attribute CCO_SNOW_JAN numeric
@attribute CCO_SNOW_FEB numeric
@attribute DRR_SNOW_JAN numeric
@attribute DRR_SNOW_FEB numeric
@attribute DNS_SNOW_JAN numeric
@attribute DNS_SNOW_FEB numeric
@attribute HYS_SNOW_FEB numeric
@attribute ABN_SNOW_JAN numeric
@attribute ABN_SNOW_FEB numeric
@attribute SPD_SNOW_JAN numeric
@attribute SPD_SNOW_FEB numeric
@attribute LCR_SNOW_FEB numeric
@attribute LCP_SNOW_JAN numeric
@attribute LCP_SNOW_FEB numeric
@attribute LYN_SNOW_JAN numeric
@attribute LYN_SNOW_FEB numeric
@attribute ONN_SNOW_FEB numeric
@attribute PHL_SNOW_JAN numeric
@attribute PHL_SNOW_FEB numeric
@attribute RBV_SNOW_FEB numeric
@attribute RP2_SNOW_FEB numeric
@attribute SIL_SNOW_FEB numeric
@attribute SQ2_SNOW_FEB numeric
@attribute STW_SNOW_JAN numeric
@attribute STW_SNOW_FEB numeric
@attribute TBC_SNOW_JAN numeric
@attribute TBC_SNOW_FEB numeric
@attribute TMF_SNOW_JAN numeric
@attribute TMF_SNOW_FEB numeric
@attribute UCP_SNOW_JAN numeric
@attribute UCP_SNOW_FEB numeric
@attribute WBM_SNOW_FEB numeric
@attribute WR2_SNOW_FEB numeric
@attribute WRG_SNOW_FEB numeric
@attribute OCT_FNF numeric
@attribute NOV_FNF numeric
@attribute DEC_FNF numeric
@attribute JAN_FNF numeric
@attribute FEB_FNF numeric
@attribute APR_JUL_SUM_FNF numeric

@data
0.08,1.15,4.24,12.34,2.07,0.2,0.82,2.72,7.54,0.89,0,0,0,0,0,?,?,?,?,?,0.7,2.5,4.72,11.83,2.53,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,1.66,4.18,7.39,1.74,?,?,?,?,?,?,?,?,?,?,?,25.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,18,?,?,?,?,?,?,?,?,17.9,?,?,?,10900,14100,23300,42900,46700,977200
2.77,0.29,8.02,3.32,5.08,4.91,0.05,6.8,2.84,2.99,4.02,0.07,8.83,0.77,3.14,?,?,?,?,?,7.41,0.04,13.47,4.38,8.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.61,0,14.15,2.75,6.68,?,?,?,?,?,?,?,?,?,?,?,22.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11.2,?,?,?,?,?,?,?,?,13.4,?,?,?,21500,33800,108300,159100,171400,361700
1.59,5.72,2.89,6.5,2.63,2.05,3.9,2.9,4.96,1.2,1.77,3.75,2.54,8.49,1.28,?,?,?,?,?,3.93,11.96,5.13,13.46,4.62,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.77,6.58,4.02,8.8,2.63,?,?,?,?,?,?,?,?,?,?,?,28,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17.6,?,?,?,?,?,?,?,?,19.2,?,?,?,10700,59100,53800,156100,147800,1915000
2.09,1.72,4.47,13.42,19.76,1.67,1.49,2.77,9.44,13.7,1.89,1.68,2.32,9.38,12.62,?,?,?,?,?,4.94,2.32,5.62,22.61,23.92,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.78,2.48,3.46,12.03,19.31,?,?,?,?,?,?,?,?,?,?,?,27.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,15,?,?,?,?,?,?,?,?,20.7,?,?,?,21300,30200,34300,408100,775400,1663800
1.2,0.28,8.89,7.84,13.18,0.27,0.06,4.4,5.62,9.12,0.28,0.04,4.96,7.24,8.49,?,?,?,?,?,0.54,0.41,7.05,7.51,18.26,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.64,0,5.74,7.84,13.25,?,?,?,?,?,?,?,?,?,?,9.5,20.2,38,?,?,?,?,?,?,?,?,?,?,?,?,?,?,23.7,?,?,?,?,?,?,?,?,12.8,?,?,?,10500,14500,23000,44200,336300,1476800
1.73,4.69,9.2,7.62,23.46,1.54,4.9,10.33,3.12,15.06,1.19,4.84,7.59,3.88,15.21,?,?,?,?,?,3.81,12.11,15.57,6.18,17.38,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.01,6.18,13.31,1.85,4.91,7.72,5.75,14.9,?,?,?,?,?,?,?,?,?,?,?,11.6,14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.3,?,?,?,?,?,?,?,?,8.7,?,?,?,20300,53500,436400,129700,538800,2475100
3.33,2.79,1.51,7.23,6.15,2.11,1.68,1.14,3.76,2.76,1.93,1.42,0.77,4.31,4.76,?,?,?,?,?,5.34,3.61,2.74,7.69,5.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.93,2.2,?,3.76,3.64,2.95,1.9,1.69,5.01,4.18,?,?,?,?,?,?,?,?,?,?,?,10.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.2,?,?,?,?,?,?,?,?,8.4,?,?,?,29800,40600,44400,49900,69800,572700
3.52,0.77,1.25,15.64,14.36,2.43,0.26,1.21,13.5,11.96,2.56,0.32,1.25,11.18,9.57,?,?,?,?,?,4.87,1.69,4.73,27.01,24.85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.17,0.9,2.57,13.03,10.15,2.65,0.93,3.41,16.75,14.7,?,?,?,?,?,?,?,?,?,?,12.9,19.2,22.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13.2,?,?,?,?,?,?,?,?,18.6,?,28,?,27710,19310,28220,468150,611420,1378500
2.08,1.76,14.04,10.36,8.38,1.44,2.59,10.12,4.92,3.99,1.34,2.97,9.82,4.68,3.3,?,?,?,?,?,2.98,8.73,22.27,16.26,14.76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.74,1.25,10.97,5.96,6.61,1.45,1.68,11.84,8.11,8.22,?,?,?,?,?,?,?,?,?,?,26.8,36.9,43.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,19.3,?,?,?,?,?,?,?,?,23.8,?,36.8,?,15200,43800,249000,345400,472500,1531000
1.33,2.82,17.36,10.91,6.92,1.11,1.83,9.96,8.44,4.9,1.55,1.87,10.1,7.56,4.92,?,?,?,?,?,2.13,6.05,24.81,15.99,13.67,?,?,?,?,?,0,4.27,16.1,12.4,9.51,?,?,?,?,?,0.53,2.78,10.27,9.01,6.58,1.06,3.77,12.13,10.54,7.32,?,?,?,?,?,?,?,?,?,?,?,26.2,28.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,23.4,?,?,?,?,?,?,?,?,29.2,?,33,?,17800,48800,324500,582700,553700,2054800
0.53,10.41,6.87,13.8,5.7,0.21,8.53,5.21,11.07,2.32,0.21,9.07,4.77,11.25,3.05,?,?,?,?,?,0.74,16.72,12.31,23.03,5.22,?,?,?,?,?,0.35,15.84,8.22,16.4,5.43,?,?,?,?,?,0.24,10.08,4.28,10.12,3.4,0.57,9.93,5.99,13.19,3.6,?,?,?,?,?,?,?,?,?,?,?,30.4,34.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,19.1,?,?,?,?,?,?,?,?,28.8,?,35.9,?,16900,154100,278100,691300,373900,1387800
1.75,0.7,2.19,8.11,10.36,0.59,0.77,1.55,4.17,5.25,1.09,0.8,1.73,4.35,6.71,?,?,?,?,?,3.32,2.93,3.09,10,12.41,?,?,?,?,?,1.91,2.11,3.12,8.08,7.51,?,?,?,?,?,1.4,1.67,2.65,5.73,?,0.87,2.29,3.37,6.17,8.33,?,?,?,14.7,?,?,?,?,?,?,?,14.5,22.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13.2,?,?,?,?,?,?,?,?,17.1,?,16.5,?,19430,24290,30500,58200,144200,927520
3.99,6.12,4.1,1.36,8.56,2.04,7.65,3.7,1.02,8.68,1.01,7.28,3.5,0.86,7.58,?,?,?,?,?,4.38,13.7,8.39,2.73,17.51,?,?,?,?,?,2.95,13.37,5.81,1.37,13.59,?,?,?,?,?,?,7.76,4.22,1.1,8.93,2.45,9.55,4.13,1.55,12.17,?,?,?,?,?,?,?,?,?,?,?,22.7,27.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11,?,?,?,?,?,?,?,?,17.6,?,?,?,10740,120380,124060,97240,559930,1319960
7.57,7.86,14.6,2.97,4.44,5.9,4.85,11.14,2.02,2.79,7.16,5.07,9.41,2.16,2.96,?,?,?,?,?,10.54,11.58,20.65,3.77,6.26,?,?,?,?,?,8.59,10.69,17.27,3.28,5.92,?,?,?,?,?,4.72,6.62,11.82,1.65,4.12,6.25,7.57,12.36,1.39,3.08,?,?,?,?,?,?,?,?,?,?,34,34.4,47.6,?,?,?,?,?,?,?,?,?,?,?,26.9,?,?,19.6,?,?,14.9,?,?,?,27.3,?,27,?,?,?,35390,142610,544170,308490,154530,1313620
3.05,9.35,3.84,5,4.48,1.37,8.44,2.28,1.8,2.77,1.56,6.67,2.82,1.91,2.78,?,?,?,?,?,2,12.73,6.82,3.13,6.45,?,?,?,?,?,2.98,9.99,5.17,3.06,2.69,0,9.23,4.43,2.4,5.6,1.93,6.05,3.53,1.49,3.2,2.21,6.98,4.56,1.91,4.51,?,?,?,?,20.2,24.8,?,?,?,?,?,16.5,16.1,?,?,?,?,?,?,?,?,?,?,?,17.1,?,?,8.6,?,?,4.7,?,?,?,17.6,?,20.4,?,?,?,18370,88000,86690,50430,172260,679040
5.43,1.92,0.96,3.9,6.32,4.66,0.44,0.26,4.58,2.59,4.04,0.33,0.35,3.95,2.99,?,?,?,?,?,11.03,2.37,1.23,10.09,5.24,?,?,?,?,?,8.13,2.39,1.32,4.59,6.54,8.28,2.22,1.13,6.3,5.03,5.41,1.63,1.54,2.35,5.23,6.58,2.33,1.34,3.13,4.82,?,?,?,2.8,11.4,13.1,?,?,?,?,?,8.3,8.6,?,?,?,?,?,?,?,?,?,?,?,4.1,?,?,0,?,?,0,?,?,?,2,?,7.4,?,?,?,46680,43410,27980,170100,74360,1699100
1.07,2.52,8.11,4.7,7.35,0.42,3.07,5.18,1.92,3.68,0.87,2.69,6.67,2.63,4.99,?,?,?,?,?,0.78,7.13,9.12,4.6,8.59,?,?,?,?,?,0.9,4.2,9.52,4.76,7.9,0.32,3.81,10.34,4.68,8.06,0.47,1.73,6.54,3.75,5.09,0.48,1.99,7.45,4.4,5.59,?,?,?,12.5,13.9,19.1,?,?,?,?,15.8,21,20.8,?,?,?,?,?,?,?,?,?,?,?,17.4,?,?,9.4,?,?,?,?,?,?,?,?,13.9,?,25.1,?,13910,35410,53710,48000,87120,1243080
1.34,2.82,2.79,19.3,4.71,0.41,2.86,1.62,12.1,3.34,0.16,3.22,2.28,14.26,2.95,?,?,?,?,?,0.78,6.01,4.32,21.76,7.66,?,?,?,?,?,0.22,4.86,3.12,17.64,5.8,0.01,4.76,4.15,21.58,6.27,0.22,3.64,1.89,10.71,5.17,0.05,3.29,2.48,13.61,5.3,?,?,?,20,12.5,45.7,?,?,?,?,?,26.6,35.3,?,?,?,?,?,?,?,?,?,?,?,25.7,?,?,20.6,?,?,14.6,?,?,?,24.2,?,24.8,?,?,?,11510,25630,24510,301450,334880,1593420
4.92,14.79,11.92,8.27,4.22,6.42,13.73,9.05,7,3.27,6.02,11.37,7.59,6.79,3.59,?,?,?,?,?,10.42,23.9,17.3,13.35,6.25,?,?,?,?,?,8.58,21.74,15.05,11.98,6.87,7.09,23.52,16.01,14.97,5.48,5.53,14.43,9.3,8.51,4.59,5.7,14.64,10.06,9.77,5.65,?,?,?,11.3,10.5,29.4,?,?,?,?,?,16.5,20,?,?,?,?,?,?,18.6,?,?,11,?,?,?,?,8.8,?,?,?,?,?,?,?,?,17,?,?,?,40470,984830,1054260,575680,425360,1086880
3.8,6.86,14.68,17.88,6.82,4.53,4.47,13.04,15.33,6.04,3.43,5.91,12.62,11.61,5.3,?,?,?,?,?,8.63,10.81,20.17,18.63,13.48,?,?,?,?,?,7.62,8.4,16.71,16.48,9.67,6.49,10.01,18.15,21.3,10.92,4.51,6.01,9.99,12.88,4.12,3.88,6.51,11.96,14.74,6.25,?,?,?,43.7,?,75.1,?,?,?,?,?,59.6,72.7,?,?,?,?,?,?,55.7,?,?,48.8,?,49.3,?,?,?,?,?,34,?,?,?,48.3,?,45.8,?,?,?,30380,97760,317330,540460,544870,2864070
0.1,3.18,12.44,9.32,1.39,0.08,2.88,8.2,6.77,0.47,0.05,2.98,9.41,6.52,0.37,?,?,?,?,?,0.6,5.88,17.27,17.66,0.69,?,?,?,?,?,0,3.58,13.38,10.56,0.54,0,3.73,15.09,13.12,0.08,0,2.75,8.6,5.75,0,0,2.4,9.51,9,0.08,?,?,?,25.7,?,?,?,?,?,?,?,34.1,40.5,?,?,?,?,?,?,29.6,?,?,24.2,?,28.9,?,?,22.8,?,?,18.3,?,?,?,?,?,23.9,?,?,?,20120,29510,98890,454360,154660,1630660
1.9,3.6,2.77,7.78,7.35,1.08,1.93,1.84,4.93,4.96,0.97,2.11,1.75,6.27,5.36,?,?,?,?,?,2.64,7.57,3.27,10.29,9.69,?,?,?,?,?,1.74,5.01,3.09,8.32,7.64,1.98,6.67,3.45,9.89,7.85,1.63,4.28,2.59,5.73,4.15,1.61,4.4,2.51,6.39,5.7,?,?,?,13.1,?,20.8,?,?,?,?,8.2,20.4,24.3,?,?,?,?,?,?,14.3,?,?,11.9,?,16,?,?,11.8,?,?,7.3,?,?,?,15.5,?,12.4,?,20.9,?,16480,53900,64520,122930,210250,1053650
0,4.88,8.45,6.8,5.47,0,3.34,6.04,3.36,2.53,0,2.82,6.58,3.5,3.48,?,?,?,?,?,0.41,7.12,14.94,6.93,4.66,?,?,?,?,?,0,3.59,11.31,8.04,4.56,0.31,5.13,11.11,7.74,4.1,0.02,3.32,8.45,6.78,4.12,0.14,3.64,11.03,7.05,3.52,?,?,?,21.3,?,?,?,?,?,?,?,27.2,27,?,?,?,?,?,?,24.3,?,?,16.6,?,21.7,?,?,16.2,30.4,?,10,?,?,?,21,?,22.5,?,28.7,?,11770,28540,113990,133050,102900,988200
0.42,7.25,29.41,13.96,6.02,0.43,3.12,22.77,12.93,4.27,0.25,2.76,23.65,10.83,4.37,?,?,?,?,?,0.29,7.81,44.9,21.29,8.98,?,?,?,?,?,0.18,5.1,31.04,16.8,4.79,0.52,5.81,34.15,17.89,5.98,0.26,4.16,20.39,11.04,4.38,0.27,3.98,23.29,11.92,4.38,?,?,?,42.2,?,?,?,?,?,42.8,?,44.3,47.4,?,45.8,?,?,?,?,45.9,?,?,25.7,?,36.9,?,?,31,62.8,?,12.5,?,?,?,35.8,?,41.1,?,52,?,13300,28600,1247000,951800,326900,1716700
7.17,0.4,3.95,6.54,8.69,6.48,0.03,2.06,5.15,6.04,5.4,0,2.07,5.94,5.76,?,?,?,?,?,10.47,0.16,4.01,7.44,15.01,?,?,?,?,?,6.53,0.29,3.76,7.45,9.05,6.16,0,2.28,6.29,10.33,3.47,0,2.4,5.91,6.79,3.57,0.03,1.62,5.01,6.98,?,?,?,12.1,?,21.8,?,?,?,?,?,16,25.2,?,?,?,?,?,?,17,?,?,11.5,?,13.6,?,?,10,?,?,8.1,?,?,?,16.4,?,16,?,21.5,?,32300,30700,48500,58100,283500,1214500
1.75,4.89,6.62,7.41,12.15,2.1,2.02,5.88,5.16,7.96,1.99,2.23,7.2,5.72,8.71,?,?,?,?,?,5.55,5.46,10.87,11.33,19.6,?,?,?,?,?,1.7,3.64,7.99,8.99,12.47,3.11,3.44,8.38,9.95,15.12,1.77,2.84,5.31,6.89,10.34,2.08,2.65,6.69,8.39,10.61,?,?,?,18.8,?,34.3,?,?,?,?,?,20.3,33.9,?,?,?,?,?,?,21.6,?,18.8,13.8,?,17.1,?,?,12.5,?,?,9.5,?,?,?,16.7,?,20.8,?,24.8,18.8,21800,37400,97900,163500,588100,2570200
0.43,2.84,1.4,8.25,10.75,0.36,0.78,1.42,6,7.12,0.34,1.52,1.28,7.06,7.81,?,?,?,?,?,0.84,3.27,3.15,13.93,12.7,?,?,?,?,?,0.22,2.39,1.6,9.15,10.41,0.4,2.4,2.2,11.38,9.38,0.13,1.01,1.39,8,7.81,0.28,1.1,1.59,8.73,6.99,?,?,?,13.1,?,34.6,?,?,?,?,?,10.8,14.2,?,?,?,?,10.2,?,14.4,?,7.6,7.3,?,8.4,0,?,6,36.4,?,2.6,?,?,?,8.3,?,14.8,?,12.2,9.9,14500,22500,24400,149400,203600,590600
0.06,0.03,2.8,6.17,10.71,0,0,1.47,5.17,9.81,0,0,1.52,5.56,6.09,?,?,?,?,?,0.04,0,3.81,13.72,16.85,?,?,?,?,?,0,0,2.23,9.44,13.46,0,0,3.44,11.06,14.83,0,0,1.38,7.49,7.78,0,0,2.21,7.76,8.8,?,?,?,8.9,?,19.7,?,?,?,?,?,24.4,?,?,?,?,?,?,?,9.9,?,12.3,13.3,?,10.6,13.8,?,10.6,26.6,?,5.5,?,?,?,10.2,?,9.4,?,17.9,16.4,11980,12600,20040,63110,348400,782830
2.45,6.46,2.18,1.42,5.5,0.38,4.8,2.18,1,4.07,0.72,4.45,2.14,0.79,3.67,?,?,?,?,?,1.08,9.77,4.76,3.57,6.08,?,?,?,?,?,1.19,7.15,3.42,1.63,4.22,0.54,9.49,3.75,2.35,5.53,0.9,5.66,2.14,1.33,2.51,0.39,6.98,2.38,1.85,3.43,?,?,?,8.9,16.3,17.1,?,?,?,?,?,14.5,17.4,?,?,?,?,11.4,?,8.6,?,9.4,5.2,?,8.6,6.2,?,5.8,15.2,?,0,?,?,?,?,?,7.1,?,18.5,11,9000,49800,39400,31100,122600,631900
2.82,5.02,3,5.14,18.45,2.26,2.01,1.56,2.91,12.83,1.85,2.13,1,2.11,13.06,?,?,?,?,?,3.29,6.37,5.1,4.86,24.18,?,?,?,?,?,1.38,2.9,3.78,3.42,17.23,1.53,5.31,4.32,4.63,18.16,0.83,2.87,3.08,2.86,13.61,0.73,2.98,3.2,3.51,12.93,?,?,?,12.8,?,19,?,?,?,?,?,16.5,18.7,?,?,?,?,11.7,?,14.1,?,11.6,9.3,?,12.8,9.8,?,7.3,19.9,?,4.4,?,?,?,12.1,?,13.6,?,17.8,12.4,10440,13700,50530,47050,418070,1274530
10.06,1.89,2.99,10.26,6.86,8.34,2.28,3.66,5.73,7.62,8.53,1.87,2.35,4.42,6.93,?,?,?,?,?,23.22,4.09,7.33,11.94,8.48,?,?,?,?,?,12.04,2.17,4.66,5.26,10.63,17.87,2.87,6.24,6.23,9.22,11.69,1.62,4.47,3.08,6.9,11.39,1.28,4.32,4.05,6.06,?,?,?,0.1,?,11.1,?,?,?,?,?,0,4.4,?,?,?,?,?,?,2.6,?,0,0,?,0,0,?,0,0,?,0,?,?,?,0,?,2.7,?,1,0,334860,44700,178010,258760,711770,1756620
4.15,11.89,1.7,9.24,0.58,1.9,8.26,0.91,4.89,0.42,1.27,7.51,0.72,5.74,0.15,?,?,?,?,?,4.24,17.9,1.82,14.76,0.8,?,?,?,?,?,3.96,10.36,1.27,9.23,0.33,4.34,13.26,1.38,10.09,1.13,3.26,6.84,0.88,6.99,0.71,2.83,8.63,0.87,6.73,0.88,?,?,?,16.7,?,30.7,5.4,?,?,?,8.4,24.6,26.5,?,?,4.9,?,17.3,?,20.9,?,20.7,16.7,6.7,17.3,16.2,?,10.8,27.6,0,10.2,?,?,?,15.8,?,18.6,?,25.6,19.8,32030,200790,83320,156250,107450,910690
1.34,12.72,30.01,11.96,2.3,0.76,5.05,27.55,7.74,0.85,0.42,4.72,19.37,8.28,0.88,?,?,?,?,?,1.94,13.44,47.39,15.61,2.55,?,?,?,?,?,1.8,10.18,31.77,9.35,2.19,2.3,9.23,32.19,10.99,2.3,1.96,6.77,19.1,6.9,1.68,1.82,6.66,18.32,7.42,1.79,?,?,?,36.7,?,55.1,?,?,27.8,?,?,43.1,42.3,?,?,?,?,36.4,?,44.9,?,27.6,23.9,?,35.6,19.2,?,38.7,54.4,?,13.4,?,?,?,30.4,?,41.4,?,45.8,33.5,10800,64000,1509300,773900,281900,1539800
0.46,13.28,7.98,3.74,3.9,0.45,8.09,6.24,2.63,1.98,0.26,7.79,7.15,2.09,1.82,?,?,?,?,?,0.99,13.48,9.99,7,5.47,?,?,?,?,?,1.09,10.79,8,4.88,3.92,0.65,9.81,8.96,3.82,4.08,0.79,7.29,7.08,3.54,3.51,0.58,8.51,6.73,3.5,3.21,22.5,25.1,?,21.9,?,32.6,18.4,?,19.3,?,20.9,26.1,30.1,21.8,?,18.5,?,27.3,?,25.5,?,25,22.2,19,23.6,20.1,?,18.9,31.1,12.2,14.5,?,?,18.2,22.4,?,24.1,?,28.1,24.7,26000,74500,80500,121700,112600,739800
0,9.15,10.45,16.59,0.7,0.08,6.15,7.36,11.4,0.44,0.02,8.06,6.79,11.96,0.37,?,?,?,?,?,0,16.14,12.54,20.74,1.31,?,?,?,?,?,0.05,10.46,7.53,13.77,1.14,0,11.99,10.34,17.61,1.21,0,6.57,7.57,11.09,0.96,0,8.23,7.03,12.3,0.91,?,29.1,?,31.9,?,52,11.1,?,14.1,?,19.1,46.2,42.8,15.8,?,8.5,20,35,?,35.1,?,29.9,26.4,12,24.6,20.9,?,18,49.1,5,14.9,?,?,11,23.1,?,34.4,35.9,35,31.9,7300,76900,277500,420700,266300,2329200
1.34,3.91,4.23,7.77,6.32,1.37,2.18,4.32,5.26,4.89,1.42,2.19,4.74,7.24,4.05,?,?,?,?,?,2.92,5.62,8.88,12.44,10.18,?,?,?,?,?,2.77,3.92,7.14,7.59,5.83,2.38,5.09,7.69,8.29,7.72,1.82,4.64,4.37,7.32,4.87,1.5,4.42,4.94,6.52,4.41,10.5,18.9,?,9.9,?,29.8,14.4,?,9,16.2,14.6,18.2,28.7,9.2,19,15.6,17.6,19.6,?,14.6,?,16.8,18.6,9.6,16.7,15.3,?,15,29.1,6,12.2,?,17.6,9.1,17.4,?,12.5,26.4,27,17.6,18700,45200,84500,143100,449900,644200
2.03,8.54,11.39,30.24,14.34,1.74,4.32,7.99,22.82,9.28,1.22,3.52,7.92,19.69,9.57,?,?,?,?,?,5.99,9.23,12.86,34.88,18.28,?,?,?,?,?,1.46,8.48,9.87,24.07,10.99,3.38,7.94,10.5,28.47,13.37,1.77,6.77,6.78,18.18,11.07,1.78,6.29,7.55,16.57,8.8,18.4,39.8,?,39.6,?,63.1,19,43.9,19.5,44.2,21.9,58.1,56,20.8,51,17,26.7,45.7,?,?,?,40,35.3,18.8,43.1,22.5,?,37.6,62.6,?,22.1,?,31.7,18,40,?,44.4,49.7,51,45.1,14100,100400,127700,1090400,494600,2202300
4.08,4.04,11.13,18.17,5.22,2.14,1.4,9.26,15.27,2.45,2.3,1.17,7.93,14.41,2.18,?,?,?,?,?,6.38,3.37,19.31,33.17,4.89,?,?,?,?,?,3.81,3.14,10.3,19.43,4.24,4.39,2.95,15.78,25.93,4.51,2.78,3.78,8.51,13.44,2.67,2.68,3.21,9.67,16.2,3.31,9.3,25.5,?,21.8,?,41.5,2,5.6,8.9,22.4,8.8,25.1,25.7,12.3,25.8,1.1,0,25.6,?,29.5,?,24.5,10.8,9.8,23.3,7,?,14.7,39,2.9,5.5,?,6.8,9,20.9,?,26.4,18.6,29.7,27.7,28100,50000,335800,1315100,334300,741600
1.48,13.7,17.41,4.9,1.56,1.59,7.83,8.03,2.2,0.91,1.01,6.3,8.89,4.12,1.17,?,?,?,?,?,3.72,18.14,19.21,7.5,2.11,?,?,?,?,?,2.97,11.47,15.82,5.22,1.74,2.57,14.38,16.51,5.16,1,1.74,10.4,11.69,2.82,0.94,1.99,11.31,11.82,3.23,0.7,24.4,30.4,24,26.4,?,55.6,30.9,36.5,21.9,27.1,30.7,39.4,46.8,27.3,31.3,27.8,37.6,36.3,30.3,35.8,?,30.6,31.9,22.1,27.3,28.4,?,23.8,49.5,14.6,19.1,?,28.6,21.4,28.1,29.9,33.6,42.8,39.6,30.3,9800,178800,341900,296700,211600,1493900
1.24,8.44,13.46,3.4,2.93,0.75,3.71,6.89,2.88,3.13,1.05,3.28,7.76,2.51,3.25,?,?,?,?,?,1.33,8.02,15.73,6.33,10.41,?,?,?,?,?,0.98,7.22,13.48,3.04,5.37,1,5.64,12.75,3.92,6.73,0.49,5.5,10.09,1.83,4.27,0.95,4.16,8.64,2.52,4.29,26.3,28.4,?,23.4,?,35.1,17.8,21.4,22.3,25.5,21.8,26,32.6,22.8,29.5,18.4,20.6,23.7,?,27.9,?,27.1,19.1,22,25.6,20,?,15.6,35.7,14,17.5,?,19,21.9,26.4,?,27.2,29.8,35.5,24.2,14300,53500,134000,109500,194400,899800
