@relation AmericanRiv_Train_81_to_100

@attribute 'Water Year' string
@attribute CPT_RAIN_OCT numeric
@attribute CPT_RAIN_NOV numeric
@attribute CPT_RAIN_DEC numeric
@attribute CPT_RAIN_JAN numeric
@attribute CPT_RAIN_FEB numeric
@attribute CPT_RAIN_MAR numeric
@attribute CPT_RAIN_APR numeric
@attribute CPT_RAIN_MAY numeric
@attribute CPT_RAIN_JUN numeric
@attribute TAC_RAIN_OCT numeric
@attribute TAC_RAIN_NOV numeric
@attribute TAC_RAIN_DEC numeric
@attribute TAC_RAIN_JAN numeric
@attribute TAC_RAIN_FEB numeric
@attribute TAC_RAIN_MAR numeric
@attribute TAC_RAIN_APR numeric
@attribute TAC_RAIN_MAY numeric
@attribute TAC_RAIN_JUN numeric
@attribute TKE_RAIN_OCT numeric
@attribute TKE_RAIN_NOV numeric
@attribute TKE_RAIN_DEC numeric
@attribute TKE_RAIN_JAN numeric
@attribute TKE_RAIN_FEB numeric
@attribute TKE_RAIN_MAR numeric
@attribute TKE_RAIN_APR numeric
@attribute TKE_RAIN_MAY numeric
@attribute TKE_RAIN_JUN numeric
@attribute BYM_RAIN_OCT numeric
@attribute BYM_RAIN_NOV numeric
@attribute BYM_RAIN_DEC numeric
@attribute BYM_RAIN_JAN numeric
@attribute BYM_RAIN_FEB numeric
@attribute BYM_RAIN_MAR numeric
@attribute BYM_RAIN_APR numeric
@attribute BYM_RAIN_MAY numeric
@attribute BYM_RAIN_JUN numeric
@attribute LSP_RAIN_OCT numeric
@attribute LSP_RAIN_NOV numeric
@attribute LSP_RAIN_DEC numeric
@attribute LSP_RAIN_JAN numeric
@attribute LSP_RAIN_FEB numeric
@attribute LSP_RAIN_MAR numeric
@attribute LSP_RAIN_APR numeric
@attribute LSP_RAIN_MAY numeric
@attribute LSP_RAIN_JUN numeric
@attribute SSR_RAIN_OCT numeric
@attribute SSR_RAIN_NOV numeric
@attribute SSR_RAIN_DEC numeric
@attribute SSR_RAIN_JAN numeric
@attribute SSR_RAIN_FEB numeric
@attribute SSR_RAIN_MAR numeric
@attribute SSR_RAIN_APR numeric
@attribute SSR_RAIN_MAY numeric
@attribute SSR_RAIN_JUN numeric
@attribute PCF_RAIN_OCT numeric
@attribute PCF_RAIN_NOV numeric
@attribute PCF_RAIN_DEC numeric
@attribute PCF_RAIN_JAN numeric
@attribute PCF_RAIN_FEB numeric
@attribute PCF_RAIN_MAR numeric
@attribute PCF_RAIN_APR numeric
@attribute PCF_RAIN_MAY numeric
@attribute PCF_RAIN_JUN numeric
@attribute GRG_RAIN_OCT numeric
@attribute GRG_RAIN_NOV numeric
@attribute GRG_RAIN_DEC numeric
@attribute GRG_RAIN_JAN numeric
@attribute GRG_RAIN_FEB numeric
@attribute GRG_RAIN_MAR numeric
@attribute GRG_RAIN_APR numeric
@attribute GRG_RAIN_MAY numeric
@attribute GRG_RAIN_JUN numeric
@attribute FDD_RAIN_OCT numeric
@attribute FDD_RAIN_NOV numeric
@attribute FDD_RAIN_DEC numeric
@attribute FDD_RAIN_JAN numeric
@attribute FDD_RAIN_FEB numeric
@attribute FDD_RAIN_MAR numeric
@attribute FDD_RAIN_APR numeric
@attribute FDD_RAIN_MAY numeric
@attribute FDD_RAIN_JUN numeric
@attribute PCV_RAIN_OCT numeric
@attribute PCV_RAIN_NOV numeric
@attribute PCV_RAIN_DEC numeric
@attribute PCV_RAIN_JAN numeric
@attribute PCV_RAIN_FEB numeric
@attribute PCV_RAIN_MAR numeric
@attribute PCV_RAIN_APR numeric
@attribute PCV_RAIN_MAY numeric
@attribute PCV_RAIN_JUN numeric
@attribute APH_SNOW_JAN numeric
@attribute APH_SNOW_FEB numeric
@attribute APH_SNOW_MAR numeric
@attribute APH_SNOW_APR numeric
@attribute APH_SNOW_MAY numeric
@attribute CAP_SNOW_JAN numeric
@attribute CAP_SNOW_FEB numeric
@attribute CAP_SNOW_MAR numeric
@attribute CAP_SNOW_APR numeric
@attribute CAP_SNOW_MAY numeric
@attribute CPF_SNOW_APR numeric
@attribute CC5_SNOW_JAN numeric
@attribute CC5_SNOW_FEB numeric
@attribute CC5_SNOW_MAR numeric
@attribute CC5_SNOW_APR numeric
@attribute CC5_SNOW_MAY numeric
@attribute CC5_SNOW_JUN numeric
@attribute CCO_SNOW_JAN numeric
@attribute CCO_SNOW_FEB numeric
@attribute CCO_SNOW_MAR numeric
@attribute CCO_SNOW_APR numeric
@attribute CCO_SNOW_MAY numeric
@attribute DRR_SNOW_JAN numeric
@attribute DRR_SNOW_FEB numeric
@attribute DRR_SNOW_MAR numeric
@attribute DRR_SNOW_APR numeric
@attribute DRR_SNOW_MAY numeric
@attribute DNS_SNOW_JAN numeric
@attribute DNS_SNOW_FEB numeric
@attribute DNS_SNOW_MAR numeric
@attribute DNS_SNOW_APR numeric
@attribute DNS_SNOW_MAY numeric
@attribute HYS_SNOW_FEB numeric
@attribute HYS_SNOW_MAR numeric
@attribute HYS_SNOW_APR numeric
@attribute HYS_SNOW_MAY numeric
@attribute ABN_SNOW_JAN numeric
@attribute ABN_SNOW_FEB numeric
@attribute ABN_SNOW_MAR numeric
@attribute ABN_SNOW_APR numeric
@attribute ABN_SNOW_MAY numeric
@attribute LLL_SNOW_MAR numeric
@attribute LLL_SNOW_APR numeric
@attribute SPD_SNOW_JAN numeric
@attribute SPD_SNOW_FEB numeric
@attribute SPD_SNOW_MAR numeric
@attribute SPD_SNOW_APR numeric
@attribute SPD_SNOW_MAY numeric
@attribute LCR_SNOW_FEB numeric
@attribute LCR_SNOW_MAR numeric
@attribute LCR_SNOW_APR numeric
@attribute LCR_SNOW_MAY numeric
@attribute LCP_SNOW_JAN numeric
@attribute LCP_SNOW_FEB numeric
@attribute LCP_SNOW_MAR numeric
@attribute LCP_SNOW_APR numeric
@attribute LCP_SNOW_MAY numeric
@attribute LYN_SNOW_JAN numeric
@attribute LYN_SNOW_FEB numeric
@attribute LYN_SNOW_MAR numeric
@attribute LYN_SNOW_APR numeric
@attribute LYN_SNOW_MAY numeric
@attribute ONN_SNOW_FEB numeric
@attribute ONN_SNOW_MAR numeric
@attribute ONN_SNOW_APR numeric
@attribute ONN_SNOW_MAY numeric
@attribute ONN_SNOW_JUN numeric
@attribute PHL_SNOW_JAN numeric
@attribute PHL_SNOW_FEB numeric
@attribute PHL_SNOW_MAR numeric
@attribute PHL_SNOW_APR numeric
@attribute PHL_SNOW_MAY numeric
@attribute RBV_SNOW_FEB numeric
@attribute RBV_SNOW_MAR numeric
@attribute RBV_SNOW_APR numeric
@attribute RBV_SNOW_MAY numeric
@attribute RP1_SNOW_MAR numeric
@attribute RP1_SNOW_APR numeric
@attribute RP2_SNOW_FEB numeric
@attribute RP2_SNOW_MAR numeric
@attribute RP2_SNOW_APR numeric
@attribute RP2_SNOW_MAY numeric
@attribute SIL_SNOW_FEB numeric
@attribute SIL_SNOW_MAR numeric
@attribute SIL_SNOW_APR numeric
@attribute SIL_SNOW_MAY numeric
@attribute SXV_SNOW_APR numeric
@attribute SQ2_SNOW_FEB numeric
@attribute SQ2_SNOW_MAR numeric
@attribute SQ2_SNOW_APR numeric
@attribute SQ2_SNOW_MAY numeric
@attribute STW_SNOW_JAN numeric
@attribute STW_SNOW_FEB numeric
@attribute STW_SNOW_MAR numeric
@attribute STW_SNOW_APR numeric
@attribute TBC_SNOW_JAN numeric
@attribute TBC_SNOW_FEB numeric
@attribute TBC_SNOW_MAR numeric
@attribute TBC_SNOW_APR numeric
@attribute TBC_SNOW_MAY numeric
@attribute TMF_SNOW_JAN numeric
@attribute TMF_SNOW_FEB numeric
@attribute TMF_SNOW_MAR numeric
@attribute TMF_SNOW_APR numeric
@attribute TMF_SNOW_MAY numeric
@attribute UCP_SNOW_JAN numeric
@attribute UCP_SNOW_FEB numeric
@attribute UCP_SNOW_MAR numeric
@attribute UCP_SNOW_APR numeric
@attribute UCP_SNOW_MAY numeric
@attribute WBM_SNOW_FEB numeric
@attribute WBM_SNOW_MAR numeric
@attribute WBM_SNOW_APR numeric
@attribute WBM_SNOW_MAY numeric
@attribute WR2_SNOW_FEB numeric
@attribute WR2_SNOW_MAR numeric
@attribute WR2_SNOW_APR numeric
@attribute WR2_SNOW_MAY numeric
@attribute WRG_SNOW_FEB numeric
@attribute WRG_SNOW_MAR numeric
@attribute WRG_SNOW_APR numeric
@attribute WRG_SNOW_MAY numeric
@attribute OCT_FNF numeric
@attribute NOV_FNF numeric
@attribute DEC_FNF numeric
@attribute JAN_FNF numeric
@attribute FEB_FNF numeric
@attribute MAR_FNF numeric
@attribute APR_FNF numeric
@attribute MAY_FNF numeric
@attribute JUN_FNF numeric
@attribute APR_JUL_SUM_FNF numeric

@data
1917,?,?,?,?,?,?,?,?,?,1.2,2.46,7.06,2.23,11.98,3.61,2.32,0.71,0.01,0.81,1.15,5.9,1.4,5.5,3.4,0.4,0.3,0,?,?,?,?,?,?,?,?,?,3.8,5.32,14.23,5.05,18.65,5.63,6.17,2.48,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.48,2.79,7.09,2.45,10.08,2.48,2.04,0.2,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,21.4,?,?,55,35.2,?,?,?,?,?,?,?,?,?,?,67.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,39.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,52.3,?,?,?,?,?,45000,45800,129400,103100,411800,280400,556300,648100,545500,1861300
1916,?,?,?,?,?,?,?,?,?,0,2.43,6.2,18.2,4.62,4.47,0.07,0.53,0,0,1.6,2.5,14.38,1.8,2.4,0,0.4,0,?,?,?,?,?,?,?,?,?,0.25,4.13,10.8,32.45,11.45,9.45,1,2.4,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,2.19,7.52,18.4,7.02,6.84,0.37,0.7,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,67.1,?,?,?,?,?,?,?,?,?,?,?,77.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,67.6,?,?,19.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,20400,30300,86600,482000,592400,812100,708100,619600,413400,1869900
1901,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.02,2.5,2.7,5,7.97,2.5,1.8,0.7,0,?,?,?,?,?,?,?,?,?,11.11,14.3,5.9,14.91,20.04,4.75,7.56,1.69,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.62,9.82,3.3,9.95,9.53,2.34,6.54,1.05,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60800,128000,95500,208000,535000,406000,706000,690000,411000,1911500
1935,1.59,5.72,2.89,6.5,2.63,8.35,9.79,0.75,0.17,2.05,3.9,2.9,4.96,1.2,5.02,8.25,0.42,0,1.77,3.75,2.54,8.49,1.28,5.57,8.18,0.22,0,?,?,?,?,?,?,?,?,?,3.93,11.96,5.13,13.46,4.62,10.78,15.59,1.17,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.77,6.58,4.02,8.8,2.63,6.12,10.08,0.85,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.9,?,?,?,?,?,?,?,28,29.5,53.9,44.4,?,?,?,?,?,?,?,?,?,?,50.9,?,?,?,42.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,44.7,?,?,27.9,36.8,17.6,17.9,25.2,24.4,44.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,19.2,21.2,28.7,38,?,?,?,?,?,?,56.8,?,?,?,?,?,10700,59100,53800,156100,147800,213000,818000,667900,359600,1915000
1942,1.33,2.82,17.36,10.91,6.92,3.31,6.25,5.54,0,1.11,1.83,9.96,8.44,4.9,1.6,3.05,3.08,0.22,1.55,1.87,10.1,7.56,4.92,1.77,3.93,3.28,0.14,?,?,?,?,?,?,?,?,?,2.13,6.05,24.81,15.99,13.67,3.43,11.39,9.38,0.06,?,?,?,?,?,?,?,?,?,0,4.27,16.1,12.4,9.51,2.81,8.01,6.83,0,?,?,?,?,?,?,?,?,?,0.53,2.78,10.27,9.01,6.58,2.18,8.09,4.32,0,1.06,3.77,12.13,10.54,7.32,2.59,6.71,5.2,0,?,?,?,?,?,?,?,?,35.5,?,?,?,?,?,?,?,?,?,?,?,26.6,?,?,?,?,39,?,?,26.2,41.1,42.6,38.9,28.3,42.3,41.9,45,?,?,?,40.2,?,?,63.3,?,?,?,18.1,?,?,?,?,?,?,?,?,?,?,?,?,?,37.6,?,?,?,24.9,?,?,?,?,?,34.6,?,?,?,22,?,?,52.1,?,?,36.9,?,23.4,27.4,26.8,20.5,20,?,?,?,?,?,?,?,14.5,?,?,?,19.5,?,?,?,?,34.4,?,?,29.2,36.2,39.3,37.6,?,?,40.9,?,33,47.9,50.8,?,?,?,?,?,17800,48800,324500,582700,553700,285500,626100,716800,556600,2054800
1915,?,?,?,?,?,?,?,?,?,1.28,0.5,3.36,5.18,10.68,1.08,0.54,3.7,0,0.78,0.69,3.5,5.38,9.5,1.5,0.68,3.67,0.05,?,?,?,?,?,?,?,?,?,4.37,0.65,7.2,11.03,12.8,4.02,4,14.87,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.73,1.11,7.35,7.14,14.29,2.31,1.7,5.87,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,22.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,44.1,?,?,?,?,?,25400,29900,47000,100300,516800,292300,515300,967700,492600,2092900
1969,2.03,8.54,11.39,30.24,14.34,3.35,5.21,1.42,0.86,1.74,4.32,7.99,22.82,9.28,1.96,1.56,0.15,2.5,1.22,3.52,7.92,19.69,9.57,1.56,1.92,0.69,2.62,?,?,?,?,?,?,?,?,?,5.99,9.23,12.86,34.88,18.28,2.34,5.23,0.26,1.29,?,?,?,?,?,?,?,?,?,1.46,8.48,9.87,24.07,10.99,2.97,5.07,0.06,0.61,3.38,7.94,10.5,28.47,13.37,3.37,5.18,0,0.55,1.77,6.77,6.78,18.18,11.07,3.64,4.6,0,0.18,1.78,6.29,7.55,16.57,8.8,3.38,4.43,0.02,0.34,18.4,39.8,63,65.5,57.8,?,39.6,61.2,59.5,53.5,40.1,?,63.1,87.9,89.5,84.6,45.4,19,43.9,54.9,55.6,41.6,19.5,44.2,59.8,62.6,50.5,21.9,58.1,75.1,71.9,67.6,56,77.4,76.1,73.6,20.8,51,65,64.3,60.5,95,95.3,17,26.7,46.4,46.1,36.9,45.7,67.2,67.3,57.7,?,?,69.7,71.8,66.4,?,40,56.5,59.4,47.6,35.3,54.4,54.6,34.6,0,18.8,43.1,57.4,57.8,48.3,22.5,43.9,44.3,21.3,74.8,82.8,?,53,58.8,?,37.6,49.1,52.6,?,48.6,62.6,79.5,84,82.5,?,22.1,35,26.4,?,31.7,49.1,48.9,33.4,18,40,54.6,56.6,49.8,?,44.4,67.3,68.6,63,49.7,67.5,72.8,67,51,69.5,82.4,68.9,45.1,68.3,66.8,54.9,14100,100400,127700,1090400,494600,367400,674600,942700,469400,2202300
1922,1.25,3.15,9.5,4.4,12.4,6.5,1.1,2.55,0.8,0.52,1.31,8.42,2.95,13.19,4.6,1.03,1.66,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.77,3.16,18.21,5.77,25.29,13.38,2.24,4.63,1.21,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.88,2.08,9.3,4.58,14.29,8.13,1.2,3,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,18,24.2,50.6,60.4,?,?,?,?,?,?,?,?,?,?,?,70.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,58.1,?,?,42,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,64.8,?,?,?,?,?,14200,38800,131000,112700,360100,324600,480200,1027000,677300,2278100
1967,0,9.15,10.45,16.59,0.7,16.6,12.2,2.53,1.98,0.08,6.15,7.36,11.4,0.44,10.95,4.27,1.43,1.42,0.02,8.06,6.79,11.96,0.37,11.41,5.49,1.18,1.75,?,?,?,?,?,?,?,?,?,0,16.14,12.54,20.74,1.31,17.18,11.2,3.37,2.35,?,?,?,?,?,?,?,?,?,0.05,10.46,7.53,13.77,1.14,11.75,12.74,2.64,2.14,0,11.99,10.34,17.61,1.21,10.62,11.21,1.6,2.24,0,6.57,7.57,11.09,0.96,8.48,12.5,1.05,1.67,0,8.23,7.03,12.3,0.91,7.73,8.97,0.7,1.56,?,29.1,29.5,38.2,52.5,?,31.9,30.7,44.3,55.2,24.1,?,52,53.4,67.6,82.8,74.9,11.1,?,?,36.1,48.3,14.1,?,?,35,50.6,19.1,46.2,40.1,51,64.1,42.8,42.5,56.4,66.6,15.8,?,?,44.2,61.2,?,72.4,8.5,20,21.8,32.8,43.2,35,35,51.4,63,?,35.1,37.8,?,65.9,?,29.9,28.2,39,51.7,26.4,31.4,30.6,42,27.5,12,24.6,28,39.1,50,20.9,19.7,28.6,38.4,43.9,57.7,?,26.4,39.2,?,18,21.4,25.1,?,31.3,49.1,49.9,70.9,82.1,5,14.9,10.1,14.6,?,?,?,34.7,?,11,23.1,28.5,40,50.5,?,34.4,35.3,50,62.8,35.9,36.7,55.8,68.1,35,41,53.9,?,31.9,30.8,43.3,56.5,7300,76900,277500,420700,266300,539700,438900,897500,751400,2329200
1998,2.11,4.81,3.9,11.97,18.08,7.04,0.93,6.65,2.28,1.57,4.6,3.02,9.64,13.92,5.48,1.42,2.31,1.8,1.24,3.02,2.61,8.64,10.13,4.66,2.51,2.56,2.18,4.1,10.35,6.81,25.75,25.08,9.06,9.41,9.5,1.78,4.4,9.56,6.93,22.9,24.53,9.68,9.04,8.44,1.65,?,?,?,?,?,?,?,?,?,3,6.54,4.91,17.58,18.14,9.75,5.71,7.41,2.1,3.35,7.76,5.15,19.06,18.85,7.32,7.69,7.86,1.23,2.35,5.27,2.89,13.81,14.96,7.6,5.17,7.64,0.93,2.42,5.88,3.49,14.67,14.92,5.73,5.11,8.22,0.82,9.6,22.5,48,48.7,50.9,?,?,?,47.9,?,?,11.8,39.4,59.3,62,63.9,61.4,?,16.7,45.9,39.4,?,10.8,23.4,42.9,45.2,38.9,?,27.9,46.3,52,?,34.4,54,55.5,57.4,11.5,28.3,42.8,47.2,46,64.4,66.7,?,6.9,23.6,26.9,?,22.1,51.1,51.1,52,?,?,?,60.5,?,?,22.8,43.3,47.4,46.8,16.3,35.6,33.4,24.5,?,9.3,22,39.9,38.9,34,12.4,32.9,12.6,14.7,51.3,?,19.3,38.9,40.8,?,14.3,35.2,34.8,28.8,?,27.2,53.9,61.6,?,?,?,?,?,?,13.5,35.7,31.8,?,9.7,20.8,39.8,42,37.6,?,?,?,55.1,?,22.1,49.4,52.3,?,24.1,45.2,47.5,?,21.2,46.1,45.8,50.4,18630,49280,90725,513996,727039,587351,581776,698846,787161,2333022
